Station,Lat,Long
340,38 05 57.2,122 15 47.8
342,38 08 46.5,122 17 19.5
343,38 10 56.5,122 18 33.4
344,38 12 45.7,122 18 31.3
345,38 13 25.8,122 18 32.3
346,38 14 11.0,122 17 13.8
347,38 15 13.0,122 17 04.9
348,38 16 27.7,122 17 00.7
349,38 17 10.8,122 17 03.7
405,38 02 23.7,122 08 48.2
411,38 03 0.8,122 04 35.5
418,38 04 03.0,122 05 44.0
501,38 04 24.0,122 01 34.8
504,38 03 07.0,121 59 09.9
508,38 02 49.8,121 55 02.0
513,38 03 31.9,121 52 03.9
519,38 04 29.1,121 57 29.1
520,38 01 55.8,121 51 47.2
602,38 06 56.0,122 02 32.61
606,38 10 14.1,122 01 40.5
609,38 10 01.5,121 56 16.2
610,38 07 19.9,121 53 20.8
703,38 02 55.0,121 47 50.6
704,38 03 59.7,121 47 25.12
705,38 05 51.4,121 42 31.5
706,38 05 09.9,121 45 01.6
707,38 06 52.9,121 42 28.3
711,38 10 38.7,121 39 44.1
716,38 14 18.8,121 41 02.1
723,38 14 14.1,121 40 23.1
801,38 02 37.3,121 50 38.4
804,38 00 59.2,121 47 28.7
809,38 03 13.6,121 41 34.9
812,38 05 23.7,121 38 23.7
815,38 05 13.7,121 34 16.1
901,38 02 46.5,121 37 06.6
902,38 01 13.4,121 34 57.6
906,38 03 0.1,121 30 23.3
910,38 00 18.0,121 27 10.9
914,37 58 17.4,121 31 12.0
915,37 56 39.4,121 34 04.4
918,37 51 32.4,121 34 01.7
919,38 06 18.7,121 29 40.5
